	name	full_name	X	y	mean_VEC	VEC_dif	mean_electronegativity	electronegativity_dif	atom_radius_dif	a2	melting_point_dif	Smix	aomiga	Hmix	Hmix_dif	Hmix_z	Hmix_p	Hmix_n	phase	label
540	HfNbSi0.5TiV	Si0.5Ti24.875V24.875Nb24.875Hf24.875	2.69039	0.71997	4.4975	0.11117	1.51941	0.08697	0.06603	0.01185	0.13268	0.01173	27.99113	-0.98132	1.43E+23	1.43E+23	3.44E+22	1.39E+23	BCC+IM	8
542	CrCu0.5FeMnNi	Cr24.875Mn24.875Fe24.875Ni24.875Cu0.5	9.16769	0.9119	7.76625	0.19224	1.73831	0.08115	0.03577	0.00774	0.13304	0.01173	5.58465	-3.79593	9.97E+22	1.13E+23	3.30E+22	1.08E+23	FCC	1
543	Mn2CrFe2NiCu2	Cr47.0Mn2.0Fe2.0Ni47.0Cu2.0	54.33263	0.91132	8.04	0.24746	1.7835	0.07113	0.01202	0.0015	0.12557	0.00785	2.57083	-5.8948	8.71E+22	1.36E+23	4.77E+22	1.27E+23	BCC+FCC	5
545	Al0.43CoCr0.29NiSi0.14	Al0.43Si0.14Cr0.29Co49.57Ni49.57	59.24346	0.78964	9.4542	0.07519	1.8931	0.01426	0.01023	0.0005	0.03527	0.0062	17.15505	-0.6309	8.21E+22	8.31E+22	0	8.31E+22	FCC+IM	9
546	Ti50Ni20Cu25Sn3Be7	Be7.0Ti50.0Ni20.0Cu25.0Sn3.0	1.09915	0.68297	7.01	0.50085	1.7957	0.11467	0.0994	0.0257	0.1865	0.01086	0.8352	-23.144	4.15E+23	5.35E+23	5.21E+22	5.32E+23	AM	4
547	Al2.2CrCuFeNi	Al2.2Cr24.45Fe24.45Ni24.45Cu24.45	21.39578	0.85317	8.6235	0.24096	1.82027	0.05709	0.02383	0.00382	0.17927	0.01215	5.91459	3.59659	2.07E+23	2.14E+23	1.83E+23	1.10E+23	BCC+IM	8
548	Al6CoMn	Al6.0Mn47.0Co47.0	3.81213	0.86335	7.7	0.19909	1.7087	0.09475	0.04376	0.00383	0.12954	0.0073	1.3426	-8.7044	1.36E+23	2.30E+23	0	2.30E+23	IM	3
549	Hf0.5Mo0.5NbSi0.1TiZr	Si0.1Ti32.96666666666667Zr32.96666666666667Nb32.96666666666667Mo0.5Hf0.5	3.67261	0.71109	4.33967	0.11154	1.49281	0.0843	0.05118	0.00814	0.15267	0.00962	9.71289	2.25492	8.02E+22	8.52E+22	4.72E+22	7.10E+22	BCC+IM	8
550	Al0.6MoTaTiV	Al0.6Ti24.85V24.85Mo24.85Ta24.85	7.06459	0.89302	4.988	0.14469	1.70691	0.15512	0.0408	0.00693	0.21573	0.01176	9.63299	-3.13458	5.63E+22	6.43E+22	7.01E+21	6.40E+22	BCC	0
551	CoCrFeNiNb0.5	Cr24.875Fe24.875Co24.875Ni24.875Nb0.5	99.82503	0.85478	8.23375	0.18133	1.8189	0.05371	0.01084	0.00101	0.10142	0.01173	5.36676	-4.10064	8.27E+22	9.97E+22	0	9.97E+22	IM	3
552	Al0.8CoCrFeNiTi0.2	Al0.8Ti0.2Cr24.75Fe24.75Co24.75Ni24.75	48.66846	0.83282	8.1995	0.18971	1.81776	0.05435	0.01565	0.00147	0.10621	0.01192	5.1199	-4.3406	8.97E+22	1.07E+23	0	1.07E+23	FCC	1
553	NbTiV0.3Mo0.1	Ti49.8V0.3Nb49.8Mo0.1	38.08895	0.89454	4.503	0.11148	1.57077	0.02255	0.01253	0.00024	0.17231	0.00598	7.20718	1.94618	9.06E+21	3.13E+22	3.08E+22	5.64E+21	BCC	0
